iter	Passed	Remaining
270	1292	3477
271	1302	3485
272	1313	3498
273	1330	3526
274	1356	3576
275	1377	3613
276	1420	3707
277	1481	3848
278	1491	3855
279	1507	3877
280	1517	3882
281	1544	3933
282	1559	3952
283	1571	3960
284	1590	3991
285	1640	4096
286	1658	4120
287	1667	4122
288	1681	4135
289	1694	4149
290	1706	4157
291	1730	4195
292	1743	4207
293	1754	4212
294	1762	4211
295	1770	4210
296	1787	4231
297	1793	4225
298	1796	4212
299	1799	4198
300	1801	4183
301	1803	4167
302	1813	4170
303	1829	4188
304	1839	4192
305	1846	4188
306	1859	4198
307	1873	4208
308	1877	4198
309	1880	4185
310	1883	4171
311	1884	4156
312	1886	4141
313	1888	4126
314	1896	4124
315	1903	4119
316	1915	4127
317	1927	4133
318	1930	4121
319	1935	4113
320	1946	4116
321	1950	4106
322	1960	4109
323	1966	4103
324	1969	4090
325	1971	4076
326	1973	4061
327	1975	4047
328	1978	4034
329	1987	4034
330	1994	4030
331	2006	4037
332	2015	4036
333	2018	4024
334	2020	4011
335	2022	3997
336	2027	3988
337	2035	3987
338	2038	3974
339	2050	3980
340	2053	3969
341	2059	3962
342	2062	3949
343	2064	3937
344	2078	3946
345	2083	3938
346	2096	3946
347	2104	3942
348	2107	3931
349	2110	3919
350	2112	3906
351	2114	3893
352	2126	3897
353	2130	3887
354	2144	3896
355	2153	3896
356	2156	3884
357	2159	3873
358	2161	3860
359	2172	3861
360	2185	3868
361	2188	3856
362	2190	3844
363	2202	3848
364	2206	3839
365	2218	3843
366	2240	3864
367	2265	3891
368	2276	3892
369	2281	3885
370	2291	3885
371	2295	3875
372	2305	3875
373	2321	3886
374	2333	3889
375	2342	3887
376	2352	3887
377	2362	3887
378	2368	3881
379	2374	3873
380	2376	3861
381	2378	3848
382	2380	3835
383	2382	3822
384	2386	3812
385	2397	3813
386	2413	3823
387	2425	3825
388	2427	3812
389	2429	3799
390	2441	3802
391	2444	3791
392	2456	3793
393	2459	3783
394	2465	3776
395	2467	3764
396	2469	3751
397	2471	3738
398	2473	3725
399	2480	3721
400	2487	3715
401	2498	3715
402	2510	3719
403	2518	3715
404	2529	3715
405	2544	3723
406	2550	3716
407	2575	3737
408	2584	3734
409	2592	3730
410	2600	3726
411	2603	3715
412	2606	3704
413	2608	3692
414	2616	3688
415	2622	3682
416	2634	3683
417	2643	3680
418	2646	3670
419	2649	3658
420	2652	3647
421	2654	3635
422	2664	3635
423	2669	3626
424	2680	3626
425	2688	3623
426	2691	3612
427	2694	3601
428	2697	3590
429	2699	3578
430	2709	3577
431	2719	3575
432	2734	3581
433	2739	3572
434	2742	3561
435	2744	3550
436	2755	3549
437	2762	3544
438	2771	3541
439	2777	3534
440	2780	3523
441	2782	3512
442	2784	3500
443	2786	3489
444	2788	3477
445	2798	3475
446	2814	3481
447	2825	3481
448	2831	3474
449	2839	3471
450	2852	3472
451	2857	3464
452	2865	3459
453	2867	3448
454	2872	3440
455	2883	3440
456	2895	3440
457	2903	3435
458	2914	3434
459	2925	3433
460	2934	3430
461	2948	3433
462	2957	3429
463	2960	3420
464	2963	3409
465	2965	3398
466	2976	3397
467	2991	3400
468	2999	3396
469	3009	3393
470	3025	3397
471	3041	3402
472	3044	3392
473	3047	3382
474	3050	3371
475	3060	3369
476	3066	3361
477	3078	3362
478	3088	3359
479	3091	3349
480	3093	3337
481	3095	3326
482	3097	3315
483	3104	3310
484	3110	3302
485	3124	3304
486	3132	3299
487	3135	3289
488	3137	3279
489	3140	3268
490	3149	3265
491	3156	3258
492	3179	3269
493	3182	3259
494	3184	3248
495	3193	3244
496	3199	3238
497	3212	3238
498	3220	3233
499	3223	3223
500	3226	3213
501	3229	3203
502	3231	3192
503	3244	3193
504	3250	3185
505	3259	3182
506	3266	3175
507	3269	3166
508	3272	3157
509	3275	3146
510	3277	3136
511	3286	3132
512	3295	3128
513	3303	3123
514	3311	3119
515	3314	3109
516	3317	3099
517	3319	3088
518	3325	3081
519	3333	3077
520	3350	3080
521	3358	3075
522	3360	3065
523	3363	3055
524	3365	3044
525	3367	3034
526	3374	3028
527	3380	3022
528	3389	3018
529	3397	3012
530	3400	3003
531	3403	2993
532	3405	2983
533	3407	2973
534	3415	2968
535	3429	2968
536	3439	2965
537	3443	2957
538	3447	2948
539	3453	2941
540	3462	2937
541	3475	2936
542	3484	2932
543	3491	2926
544	3493	2916
545	3498	2908
546	3506	2903
547	3517	2901
548	3524	2894
549	3531	2889
550	3534	2880
551	3537	2870
552	3539	2860
553	3554	2861
554	3568	2861
555	3576	2855
556	3583	2850
557	3593	2846
558	3600	2840
559	3615	2840
560	3623	2835
561	3626	2826
562	3629	2817
563	3631	2807
564	3641	2803
565	3670	2814
566	3675	2806
567	3677	2797
568	3680	2787
569	3690	2784
570	3696	2776
571	3699	2768
572	3702	2759
573	3704	2749
574	3706	2739
575	3711	2731
576	3712	2721
577	3714	2712
578	3716	2702
579	3717	2692
580	3719	2682
581	3720	2672
582	3722	2662
583	3735	2661
584	3746	2658
585	3752	2651
586	3759	2645
587	3762	2635
588	3764	2626
589	3766	2617
590	3768	2607
591	3773	2600
592	3774	2590
593	3776	2581
594	3777	2571
595	3779	2561
596	3780	2552
597	3781	2542
598	3783	2532
599	3793	2528
600	3798	2521
601	3805	2516
602	3809	2507
603	3811	2498
604	3817	2492
605	3821	2484
606	3826	2477
607	3827	2468
608	3829	2458
609	3838	2453
610	3844	2447
611	3850	2441
612	3852	2432
613	3854	2423
614	3857	2414
615	3858	2405
616	3862	2397
617	3868	2391
618	3875	2385
619	3881	2378
620	3884	2370
621	3886	2361
622	3888	2352
623	3890	2344
624	3894	2336
625	3896	2327
626	3897	2318
627	3899	2310
628	3901	2301
629	3902	2292
630	3904	2283
631	3905	2274
632	3915	2270
633	3920	2263
634	3925	2256
635	3928	2248
636	3931	2240
637	3943	2237
638	3947	2229
639	3954	2224
640	3957	2216
641	3961	2209
642	3967	2202
643	3974	2197
644	3982	2191
645	3984	2183
646	3987	2175
647	3989	2167
648	3991	2158
649	3997	2152
650	4006	2147
651	4016	2143
652	4024	2138
653	4029	2131
654	4031	2123
655	4032	2114
656	4034	2106
657	4035	2097
658	4037	2089
659	4039	2080
660	4044	2074
661	4053	2069
662	4059	2063
663	4062	2055
664	4064	2047
665	4066	2039
666	4068	2031
667	4071	2023
668	4073	2015
669	4075	2007
670	4077	1999
671	4078	1990
672	4079	1982
673	4081	1974
674	4083	1965
675	4086	1958
676	4097	1954
677	4107	1950
678	4114	1945
679	4119	1938
680	4121	1930
681	4123	1922
682	4125	1914
683	4126	1906
684	4128	1898
685	4129	1890
686	4138	1885
687	4144	1879
688	4150	1873
689	4152	1865
690	4154	1857
691	4156	1850
692	4158	1842
693	4162	1835
694	4165	1827
695	4166	1819
696	4168	1812
697	4169	1803
698	4170	1796
699	4172	1788
700	4173	1780
701	4174	1772
702	4185	1768
703	4189	1761
704	4197	1756
705	4200	1749
706	4203	1742
707	4205	1734
708	4208	1727
709	4210	1719
710	4211	1711
711	4213	1704
712	4214	1696
713	4216	1688
714	4218	1681
715	4221	1674
716	4230	1669
717	4238	1664
718	4240	1657
719	4246	1651
720	4247	1643
721	4251	1637
722	4253	1629
723	4254	1621
724	4256	1614
725	4257	1606
726	4258	1599
727	4260	1591
728	4261	1584
729	4263	1576
730	4264	1569
731	4272	1564
732	4276	1557
733	4280	1551
734	4283	1544
735	4285	1537
736	4287	1529
737	4291	1523
738	4293	1516
739	4295	1509
740	4298	1502
741	4300	1495
742	4301	1487
743	4303	1480
744	4306	1474
745	4316	1469
746	4324	1464
747	4329	1458
748	4332	1452
749	4337	1445
750	4340	1439
751	4342	1431
752	4343	1424
753	4345	1417
754	4346	1410
755	4348	1403
756	4349	1396
757	4360	1392
758	4365	1386
759	4371	1380
760	4374	1373
761	4376	1366
762	4378	1360
763	4383	1353
764	4385	1347
765	4387	1340
766	4390	1333
767	4392	1326
768	4394	1320
769	4407	1316
770	4417	1312
771	4420	1305
772	4423	1298
773	4425	1292
774	4430	1286
775	4432	1279
776	4433	1272
777	4435	1265
778	4436	1258
779	4438	1251
780	4440	1245
781	4442	1238
782	4450	1233
783	4455	1227
784	4461	1221
785	4463	1215
786	4465	1208
787	4468	1202
788	4470	1195
789	4475	1189
790	4477	1182
791	4479	1176
792	4481	1169
793	4482	1163
794	4484	1156
795	4485	1149
796	4493	1144
797	4499	1139
798	4507	1133
799	4510	1127
800	4513	1121
801	4515	1114
802	4519	1108
803	4521	1102
804	4522	1095
805	4524	1089
806	4527	1082
807	4530	1076
808	4535	1070
809	4545	1066
810	4552	1060
811	4555	1054
812	4558	1048
813	4560	1042
814	4564	1036
815	4566	1029
816	4568	1023
817	4569	1016
818	4570	1010
819	4572	1003
820	4573	997
821	4575	990
822	4576	984
823	4588	980
824	4596	975
825	4600	969
826	4603	962
827	4605	956
828	4607	950
829	4612	944
830	4614	938
831	4615	932
832	4617	925
833	4618	919
834	4620	912
835	4621	906
836	4624	900
837	4633	895
838	4637	889
839	4643	884
840	4645	878
841	4647	872
842	4649	865
843	4651	859
844	4655	853
845	4657	847
846	4659	841
847	4663	835
848	4664	829
849	4665	823
850	4667	817
851	4680	812
852	4689	808
853	4693	802
854	4695	796
855	4697	790
856	4703	784
857	4704	778
858	4706	772
859	4707	766
860	4709	760
861	4710	754
862	4712	748
863	4714	742
864	4721	736
865	4728	731
866	4734	726
867	4736	720
868	4738	714
869	4741	708
870	4743	702
871	4744	696
872	4746	690
873	4748	684
874	4749	678
875	4751	672
876	4752	666
877	4754	660
878	4755	654
879	4756	648
880	4761	643
881	4770	638
882	4778	633
883	4781	627
884	4784	621
885	4791	616
886	4793	610
887	4795	604
888	4797	598
889	4798	593
890	4799	587
891	4801	581
892	4802	575
893	4806	569
894	4807	563
895	4808	558
896	4810	552
897	4811	546
898	4813	540
899	4814	534
900	4815	529
901	4817	523
902	4823	518
903	4829	512
904	4835	507
905	4838	502
906	4843	496
907	4851	491
908	4852	485
909	4854	480
910	4855	474
911	4857	468
912	4858	462
913	4859	457
914	4861	451
915	4862	445
916	4874	441
917	4884	436
918	4886	430
919	4888	425
920	4890	419
921	4893	413
922	4898	408
923	4899	403
924	4901	397
925	4903	391
926	4904	386
927	4906	380
928	4907	375
929	4908	369
930	4915	364
931	4923	359
932	4929	353
933	4932	348
934	4939	343
935	4941	337
936	4942	332
937	4944	326
938	4946	321
939	4948	315
940	4952	310
941	4953	305
942	4955	299
943	4957	294
944	4958	288
945	4959	283
946	4960	277
947	4962	272
948	4963	266
949	4972	261
950	4978	256
951	4985	251
952	4988	246
953	4990	240
954	4993	235
955	4996	229
956	4998	224
957	5000	219
958	5002	213
959	5003	208
960	5005	203
961	5006	197
962	5008	192
963	5011	187
964	5012	181
965	5014	176
966	5015	171
967	5016	165
968	5017	160
969	5019	155
970	5020	149
971	5021	144
972	5022	139
973	5023	134
974	5032	129
975	5037	123
976	5043	118
977	5045	113
978	5047	108
979	5049	103
980	5051	97
981	5053	92
982	5056	87
983	5057	82
984	5060	77
985	5062	71
986	5065	66
987	5067	61
988	5078	56
989	5087	51
990	5090	46
991	5092	41
992	5094	35
993	5096	30
994	5101	25
995	5103	20
996	5104	15
997	5106	10
998	5108	5
999	5109	0
